6,8,2_90,7,0,0,7,0,0,8,2_90,0,10,8,0,7,6,10,0,7,0
0,6,3_0,3_180,0,7,11,0,6,11,2_90,6,0,8,8,0,0,7,6,0,8
8,6,0,2_90,7,8,3_90,2_0,2_0,2_0,4_0,4_180,2_0,2_0,2_0,4_180,2_0,2_0,3_180,8,0
11,3_90,2_0,5_0,2_0,2_0,4_270,0,17,6,7,2_90,6,9,8,2_90,0,0,2_90,0,6
7,2_90,17,2_90,6,0,3_0,3_180,8,10,6,2_90,7,6,18,2_90,7,3_90,4_0,2_0,2_0
0,3_0,2_0,4_270,0,8,0,3_0,2_0,2_0,2_0,5_0,2_0,2_0,2_0,4_270,7,2_90,0,8,0
8,8,0,2_90,18,0,8,7,0,8,0,2_90,0,7,6,2_90,0,2_90,17,0,7
2_0,2_0,2_0,4_0,2_0,2_0,2_0,4_180,2_0,2_0,2_0,5_0,2_0,2_0,2_0,5_0,2_0,4_0,2_0,2_0,3_180
8,10,6,0,0,6,0,2_90,7,0,11,2_90,9,7,0,2_90,6,11,6,14,2_90
8,0,8,7,13,7,14,2_90,11,0,6,2_90,8,7,10,2_90,7,0,7,8,2_90
2_0,2_0,4_180,2_0,4_180,2_0,2_0,5_0,2_0,2_0,2_0,4_270,0,14,7,2_90,8,13,8,3_90,3_270
8,0,2_90,7,2_90,19,7,2_90,0,0,11,4_90,2_0,2_0,2_0,5_0,2_0,2_0,2_0,4_270,0
0,7,2_90,0,2_90,6,0,3_0,2_0,17,0,2_90,10,0,0,2_90,7,0,9,2_90,8
6,9,2_90,17,2_90,13,8,14,0,6,10,2_90,0,7,0,2_90,0,6,0,2_90,7
6,7,2_90,8,4_90,2_0,2_0,2_0,2_0,2_0,2_0,4_270,8,0,6,2_90,18,0,12,2_90,0
6,3_90,4_0,2_0,4_270,0,0,6,0,6,8,2_90,0,17,11,2_90,0,0,8,3_0,3_180
11,2_90,0,9,2_90,17,2_0,4_180,2_0,3_180,7,2_90,0,2_90,6,2_90,8,7,0,0,2_90
6,2_90,0,8,2_90,0,6,2_90,6,2_90,7,2_90,9,2_90,11,2_90,0,0,7,7,2_90
2_0,3_270,6,8,2_90,8,9,2_90,0,17,8,4_90,2_0,3_270,0,4_90,2_0,2_0,2_0,2_0,3_270
14,6,7,8,3_0,2_0,2_0,5_0,2_0,2_0,2_0,4_270,0,6,0,2_90,18,0,6,14,7
0,7,7,6,8,13,8,2_90,8,9,7,2_90,13,7,6,2_90,0,8,0,8,8
